iter	Passed	Remaining
0	180	35885
1	210	20846
2	236	15562
3	261	12825
4	286	11186
5	310	10043
6	337	9307
7	362	8691
8	385	8185
9	409	7774
10	435	7478
11	459	7193
12	484	6963
13	508	6751
14	533	6581
15	561	6460
16	586	6318
17	610	6169
18	636	6062
19	660	5942
20	683	5829
21	707	5725
22	734	5648
23	757	5557
24	783	5485
25	807	5407
26	832	5333
27	856	5259
28	880	5194
29	904	5126
30	931	5078
31	957	5024
32	981	4968
33	1004	4902
34	1030	4857
35	1053	4801
36	1078	4749
37	1103	4705
38	1127	4656
39	1153	4612
40	1179	4574
41	1204	4531
42	1231	4496
43	1256	4455
44	1281	4413
45	1310	4385
46	1334	4344
47	1361	4311
48	1386	4271
49	1412	4237
50	1436	4195
51	1459	4155
52	1483	4115
53	1509	4081
54	1533	4043
55	1557	4005
56	1583	3971
57	1608	3938
58	1633	3904
59	1664	3884
60	1729	3940
61	1754	3904
62	1779	3869
63	1803	3832
64	1830	3801
65	1855	3767
66	1879	3730
67	1904	3696
68	1928	3662
69	1956	3633
70	1980	3598
71	2007	3568
72	2031	3535
73	2057	3502
74	2080	3467
75	2106	3436
76	2131	3404
77	2157	3374
78	2182	3342
79	2205	3308
80	2232	3279
81	2257	3249
82	2282	3217
83	2307	3186
84	2331	3154
85	2355	3122
86	2378	3089
87	2402	3058
88	2426	3026
89	2452	2997
90	2477	2967
91	2501	2937
92	2525	2905
93	2548	2873
94	2571	2841
95	2595	2811
96	2619	2781
97	2643	2751
98	2666	2720
99	2691	2691
100	2718	2664
101	2741	2633
102	2762	2601
103	2787	2573
104	2810	2542
105	2834	2513
106	2856	2483
107	2879	2453
108	2902	2423
109	2926	2394
110	2945	2361
111	2969	2332
112	2993	2304
113	3021	2279
114	3046	2251
115	3070	2223
116	3094	2195
117	3117	2166
118	3142	2139
119	3166	2110
120	3193	2085
121	3218	2058
122	3242	2029
123	3266	2002
124	3293	1976
125	3317	1948
126	3338	1918
127	3363	1891
128	3388	1864
129	3413	1837
130	3436	1810
131	3461	1783
132	3486	1756
133	3513	1730
134	3539	1704
135	3567	1678
136	3595	1653
137	3619	1626
138	3643	1599
139	3664	1570
140	3688	1543
141	3712	1516
142	3736	1489
143	3758	1461
144	3781	1434
145	3803	1406
146	3825	1379
147	3846	1351
148	3872	1325
149	3895	1298
150	3920	1272
151	3950	1247
152	3978	1222
153	4003	1195
154	4033	1171
155	4061	1145
156	4090	1120
157	4119	1095
158	4149	1070
159	4184	1046
160	4214	1020
161	4246	996
162	4281	971
163	4311	946
164	4343	921
165	4379	896
166	4408	871
167	4443	846
168	4475	820
169	4505	795
170	4537	769
171	4575	744
172	4608	719
173	4644	693
174	4677	668
175	4710	642
176	4742	616
177	4776	590
178	4812	564
179	4843	538
180	4876	511
181	4910	485
182	4946	459
183	4980	433
184	5014	406
185	5047	379
186	5082	353
187	5113	326
188	5147	299
189	5181	272
190	5215	245
191	5245	218
192	5278	191
193	5317	164
194	5353	137
195	5389	109
196	5422	82
197	5456	55
198	5493	27
199	5528	0
