[ 2025-06-22 20:25:25,957 ] 42 root - INFO - Loan applications dataset loaded successfully.
[ 2025-06-22 20:25:26,193 ] 44 root - INFO - Transactions dataset loaded successfully.
[ 2025-06-22 20:25:26,743 ] 50 root - INFO - Data ingestion process completed successfully.
[ 2025-06-22 20:25:26,752 ] 60 root - INFO - Starting data transformation process.
[ 2025-06-22 20:25:26,752 ] 129 root - INFO - Reading data from artifacts\loan_applications.csv, artifacts\transactions.csv.
[ 2025-06-22 20:25:27,137 ] 29 root - INFO - Starting feature engineering process.
[ 2025-06-22 20:27:24,124 ] 92 root - INFO - Feature engineering process completed.
[ 2025-06-22 20:27:24,228 ] 149 root - INFO - Performing train-test split.
[ 2025-06-22 20:27:24,255 ] 101 root - INFO - Creating preprocessing pipelines for numerical and categorical features.
[ 2025-06-22 20:27:24,256 ] 120 root - INFO - Preprocessing pipelines created successfully.
[ 2025-06-22 20:27:24,256 ] 153 root - INFO - Applying preprocessing object on train and test data.
