iter	Passed	Remaining
0	202	202544
1	373	186418
2	540	179761
3	683	170139
4	853	169942
5	996	165022
6	1140	161753
7	1282	158992
8	1416	156000
9	1549	153359
10	1718	154473
11	1891	155751
12	2074	157525
13	2242	157919
14	2401	157682
15	2564	157718
16	2721	157372
17	2884	157350
18	3014	155638
19	3162	154981
20	3318	154691
21	3438	152843
22	3554	150983
23	3720	151300
24	3840	149773
25	3985	149318
26	4139	149168
27	4293	149044
28	4454	149145
29	4589	148402
30	4744	148301
31	4888	147873
32	5027	147320
33	5141	146092
34	5262	145093
35	5396	144511
36	5520	143680
37	5645	142912
38	5763	142015
39	5867	140811
40	6001	140379
41	6116	139518
42	6244	138977
43	6365	138310
44	6501	137980
45	6628	137465
46	6754	136960
47	6881	136492
48	7018	136217
49	7137	135618
50	7262	135135
51	7385	134650
52	7503	134080
53	7624	133562
54	7757	133285
55	7888	132969
56	8005	132439
57	8103	131605
58	8204	130853
59	8329	130494
60	8459	130222
61	8556	129447
62	8660	128810
63	8786	128497
64	8909	128158
65	9046	128025
66	9286	129323
67	9455	129596
68	9591	129418
69	9793	130117
70	9970	130465
71	10090	130057
72	10198	129509
73	10309	129012
74	10416	128468
75	10531	128045
76	10639	127535
77	10749	127065
78	10856	126567
79	10969	126151
80	11099	125925
81	11208	125485
82	11317	125038
83	11454	124910
84	11588	124751
85	11698	124333
86	11793	123767
87	11906	123392
88	12035	123197
89	12182	123176
90	12346	123326
91	12487	123245
92	12620	123080
93	12763	123020
94	12895	122846
95	13038	122782
96	13200	122883
97	13363	122999
98	13525	123095
99	13704	123338
100	13853	123306
101	13990	123174
102	14140	123143
103	14277	123003
104	14380	122574
105	14500	122297
106	14619	122012
107	14709	121487
108	14793	120924
109	14876	120362
110	14961	119826
111	15056	119377
112	15170	119084
113	15278	118739
114	15376	118328
115	15460	117821
116	15545	117324
117	15623	116779
118	15704	116266
119	15780	115724
120	15856	115185
121	15935	114681
122	16014	114181
123	16092	113682
124	16176	113237
125	16258	112774
126	16339	112315
127	16418	111849
128	16501	111420
129	16584	110991
130	16673	110602
131	16759	110203
132	16846	109817
133	16923	109374
134	17001	108936
135	17079	108503
136	17156	108076
137	17234	107650
138	17313	107243
139	17391	106833
140	17476	106473
141	17552	106055
142	17631	105667
143	17709	105272
144	17786	104879
145	17865	104501
146	17942	104116
147	18017	103725
148	18095	103348
149	18174	102989
150	18251	102619
151	18331	102271
152	18408	101908
153	18490	101579
154	18568	101230
155	18652	100916
156	18730	100571
157	18808	100230
158	18885	99890
159	18962	99551
160	19037	99208
161	19116	98888
162	19201	98600
163	19282	98292
164	19363	97988
165	19442	97679
166	19520	97368
167	19598	97058
168	19678	96761
169	19766	96506
170	19849	96227
171	19930	95945
172	20012	95667
173	20092	95381
174	20178	95127
175	20256	94838
176	20337	94564
177	20418	94291
178	20503	94041
179	20581	93760
180	20663	93501
181	20747	93251
182	20832	93005
183	20918	92770
184	21001	92519
185	21082	92265
186	21161	92000
187	21239	91737
188	21316	91470
189	21394	91208
190	21473	90951
191	21551	90695
192	21631	90448
193	21714	90214
194	21796	89979
195	21874	89728
196	21950	89474
197	22039	89269
198	22115	89018
199	22195	88781
200	22273	88539
201	22355	88315
202	22431	88070
203	22521	87876
204	22605	87663
205	22686	87443
206	22778	87262
207	22872	87093
208	22961	86901
209	23039	86671
210	23118	86447
211	23201	86237
212	23280	86018
213	23360	85800
214	23440	85584
215	23520	85369
216	23612	85201
217	23705	85036
218	23803	84887
219	23899	84734
220	23998	84591
221	24101	84462
222	24204	84335
223	24318	84244
224	24425	84132
225	24527	84000
226	24630	83874
227	24733	83745
228	24834	83611
229	24932	83469
230	25031	83329
231	25134	83203
232	25233	83063
233	25335	82934
234	25435	82801
235	25534	82661
236	25631	82519
237	25729	82378
238	25827	82235
239	25921	82084
240	26016	81937
241	26114	81797
242	26214	81665
243	26314	81533
244	26413	81396
245	26511	81259
246	26611	81127
247	26709	80991
248	26815	80876
249	26914	80742
250	27014	80614
251	27118	80493
252	27219	80366
253	27315	80225
254	27416	80099
255	27518	79974
256	27613	79833
257	27712	79700
258	27813	79574
259	27911	79439
260	28008	79304
261	28105	79168
262	28199	79021
263	28294	78880
264	28395	78757
265	28493	78625
266	28592	78496
267	28691	78367
268	28795	78250
269	28891	78115
270	28989	77983
271	29086	77849
272	29179	77705
273	29274	77567
274	29373	77440
275	29473	77314
276	29571	77184
277	29668	77052
278	29767	76925
279	29863	76790
280	29958	76654
281	30054	76520
282	30153	76395
283	30249	76262
284	30353	76151
285	30454	76028
286	30554	75907
287	30652	75780
288	30748	75646
289	30845	75518
290	30942	75388
291	31039	75259
292	31137	75134
293	31238	75014
294	31338	74893
295	31441	74780
296	31539	74653
297	31639	74534
298	31735	74403
299	31835	74282
300	31934	74159
301	32031	74032
302	32129	73908
303	32229	73788
304	32323	73655
305	32419	73526
306	32518	73404
307	32616	73280
308	32718	73167
309	32815	73040
310	32912	72915
311	33010	72792
312	33103	72657
313	33197	72527
314	33291	72396
315	33386	72267
316	33482	72140
317	33579	72016
318	33676	71892
319	33775	71773
320	33875	71655
321	33970	71528
322	34063	71396
323	34158	71269
324	34254	71144
325	34350	71018
326	34448	70898
327	34544	70774
328	34640	70650
329	34732	70517
330	34828	70392
331	34923	70267
332	35016	70137
333	35111	70013
334	35209	69894
335	35304	69768
336	35402	69649
337	35505	69541
338	35600	69415
339	35692	69286
340	35850	69283
341	35960	69186
342	36058	69067
343	36153	68944
344	36251	68825
345	36350	68708
346	36448	68590
347	36546	68471
348	36660	68384
349	36759	68267
350	36857	68149
351	36952	68026
352	37049	67906
353	37149	67792
354	37247	67674
355	37343	67553
356	37439	67432
357	37535	67312
358	37632	67192
359	37728	67072
360	37824	66951
361	37921	66833
362	38015	66710
363	38111	66591
364	38209	66473
365	38302	66348
366	38399	66231
367	38492	66107
368	38587	65985
369	38682	65865
370	38777	65743
371	38871	65621
372	38963	65496
373	39056	65372
374	39156	65260
375	39252	65142
376	39347	65021
377	39441	64901
378	39539	64786
379	39636	64669
380	39728	64545
381	39822	64424
382	39919	64308
383	40014	64189
384	40112	64075
385	40204	63952
386	40300	63835
387	40395	63716
388	40487	63592
389	40591	63489
390	40688	63373
391	40784	63257
392	40884	63147
393	40985	63038
394	41080	62921
395	41175	62802
396	41270	62685
397	41366	62568
398	41463	62455
399	41560	62341
400	41655	62223
401	41750	62106
402	41846	61991
403	41940	61871
404	42036	61757
405	42134	61645
406	42230	61530
407	42328	61418
408	42431	61312
409	42529	61201
410	42630	61093
411	42726	60978
412	42821	60862
413	42918	60749
414	43018	60641
415	43114	60525
416	43211	60413
417	43308	60300
418	43409	60193
419	43507	60081
420	43602	59966
421	43703	59859
422	43801	59748
423	43895	59631
424	43990	59516
425	44082	59397
426	44176	59281
427	44273	59168
428	44366	59051
429	44463	58939
430	44556	58822
431	44650	58706
432	44743	58589
433	44841	58479
434	44934	58363
435	45031	58251
436	45125	58136
437	45222	58024
438	45315	57908
439	45411	57796
440	45504	57679
441	45598	57565
442	45697	57457
443	45793	57345
444	45890	57233
445	45984	57119
446	46079	57006
447	46174	56893
448	46271	56782
449	46365	56669
450	46468	56565
451	46562	56451
452	46662	56344
453	46758	56233
454	46855	56123
455	46950	56010
456	47042	55895
457	47136	55781
458	47235	55674
459	47330	55561
460	47422	55446
461	47518	55334
462	47617	55228
463	47722	55127
464	47816	55014
465	47912	54904
466	48006	54791
467	48100	54677
468	48196	54568
469	48294	54459
470	48389	54348
471	48482	54234
472	48580	54126
473	48677	54018
474	48778	53913
475	48889	53819
476	48978	53702
477	49076	53593
478	49168	53480
479	49265	53370
480	49360	53260
481	49455	53149
482	49547	53035
483	49643	52925
484	49739	52816
485	49832	52703
486	49928	52594
487	50024	52485
488	50118	52373
489	50216	52266
490	50311	52156
491	50409	52048
492	50507	51941
493	50605	51834
494	50700	51724
495	50798	51618
496	50896	51511
497	50992	51401
498	51091	51296
499	51186	51186
500	51284	51080
501	51383	50973
502	51479	50865
503	51577	50758
504	51673	50650
505	51772	50544
506	51871	50439
507	51968	50331
508	52061	50220
509	52156	50111
510	52251	50002
511	52347	49893
512	52444	49786
513	52539	49677
514	52633	49567
515	52726	49456
516	52820	49347
517	52916	49238
518	53010	49128
519	53106	49021
520	53202	48913
521	53297	48805
522	53397	48701
523	53492	48592
524	53589	48486
525	53685	48377
526	53780	48269
527	53879	48165
528	53975	48057
529	54070	47949
530	54170	47845
531	54266	47737
532	54365	47633
533	54462	47527
534	54556	47418
535	54650	47309
536	54745	47201
537	54839	47092
538	54932	46982
539	55031	46878
540	55128	46772
541	55220	46662
542	55320	46558
543	55418	46453
544	55521	46352
545	55618	46247
546	55715	46141
547	55812	46035
548	55913	45932
549	56012	45828
550	56108	45721
551	56201	45612
552	56301	45509
553	56398	45403
554	56494	45297
555	56593	45193
556	56692	45089
557	56801	44993
558	56916	44901
559	57022	44803
560	57126	44703
561	57228	44601
562	57332	44501
563	57431	44397
564	57533	44295
565	57630	44189
566	57726	44083
567	57822	43977
568	57919	43872
569	58015	43766
570	58111	43659
571	58208	43554
572	58306	43450
573	58403	43344
574	58497	43237
575	58592	43130
576	58689	43025
577	58783	42918
578	58876	42809
579	58971	42703
580	59064	42595
581	59162	42491
582	59255	42383
583	59350	42276
584	59443	42169
585	59540	42064
586	59637	41959
587	59733	41853
588	59833	41751
589	59931	41647
590	60024	41540
591	60117	41432
592	60204	41320
593	60298	41214
594	60396	41110
595	60497	41008
596	60597	40905
597	60697	40803
598	60795	40699
599	60891	40594
600	60994	40493
601	61101	40396
602	61205	40295
603	61301	40191
604	61401	40088
605	61496	39983
606	61589	39876
607	61683	39769
608	61775	39662
609	61872	39558
610	61970	39454
611	62064	39347
612	62157	39241
613	62252	39135
614	62347	39030
615	62443	38925
616	62536	38819
617	62632	38714
618	62727	38609
619	62819	38502
620	62913	38396
621	63011	38292
622	63109	38189
623	63200	38082
624	63290	37974
625	63377	37864
626	63466	37756
627	63557	37648
628	63648	37541
629	63741	37435
630	63834	37329
631	63926	37222
632	64022	37118
633	64121	37016
634	64215	36911
635	64310	36806
636	64404	36701
637	64498	36596
638	64591	36490
639	64686	36386
640	64798	36291
641	64905	36193
642	65007	36093
643	65107	35991
644	65210	35891
645	65310	35789
646	65404	35684
647	65502	35581
648	65604	35481
649	65704	35379
650	65801	35276
651	65900	35173
652	66003	35073
653	66107	34974
654	66204	34870
655	66301	34767
656	66393	34661
657	66483	34555
658	66575	34449
659	66665	34343
660	66755	34236
661	66854	34133
662	66958	34034
663	67061	33934
664	67171	33838
665	67284	33743
666	67389	33644
667	67494	33544
668	67600	33446
669	67701	33345
670	67798	33242
671	67895	33139
672	67993	33036
673	68092	32935
674	68189	32832
675	68284	32728
676	68377	32623
677	68476	32521
678	68574	32418
679	68716	32337
680	68831	32242
681	68927	32139
682	69023	32035
683	69116	31930
684	69211	31827
685	69310	31725
686	69405	31621
687	69503	31518
688	69598	31415
689	69691	31310
690	69786	31207
691	69881	31103
692	69979	31001
693	70075	30897
694	70170	30794
695	70264	30690
696	70358	30586
697	70455	30483
698	70552	30380
699	70650	30278
700	70745	30175
701	70838	30071
702	70935	29968
703	71036	29867
704	71138	29767
705	71237	29665
706	71333	29562
707	71428	29459
708	71521	29355
709	71618	29252
710	71710	29148
711	71804	29044
712	71900	28941
713	72000	28840
714	72098	28738
715	72200	28638
716	72300	28536
717	72397	28434
718	72492	28331
719	72586	28227
720	72680	28124
721	72776	28021
722	72871	27919
723	72967	27816
724	73065	27714
725	73159	27611
726	73255	27508
727	73355	27407
728	73450	27304
729	73542	27200
730	73637	27097
731	73731	26994
732	73828	26892
733	73922	26789
734	74016	26686
735	74114	26584
736	74213	26483
737	74311	26381
738	74405	26278
739	74503	26176
740	74598	26074
741	74697	25972
742	74794	25870
743	74889	25768
744	74984	25665
745	75079	25563
746	75176	25461
747	75270	25358
748	75363	25255
749	75458	25152
750	75550	25049
751	75644	24946
752	75743	24845
753	75842	24744
754	75938	24642
755	76036	24540
756	76129	24437
757	76231	24337
758	76330	24236
759	76426	24134
760	76523	24032
761	76615	23929
762	76708	23826
763	76803	23724
764	76898	23622
765	76995	23520
766	77090	23418
767	77186	23316
768	77281	23214
769	77376	23112
770	77470	23010
771	77569	22909
772	77661	22806
773	77757	22704
774	77853	22602
775	77946	22500
776	78040	22397
777	78137	22296
778	78232	22194
779	78324	22091
780	78417	21989
781	78516	21888
782	78608	21785
783	78703	21683
784	78801	21582
785	78898	21481
786	78990	21378
787	79086	21277
788	79182	21175
789	79281	21074
790	79373	20972
791	79470	20871
792	79566	20769
793	79661	20667
794	79753	20565
795	79849	20463
796	79942	20361
797	80034	20259
798	80130	20158
799	80224	20056
800	80319	19954
801	80414	19852
802	80507	19750
803	80601	19649
804	80694	19547
805	80787	19445
806	80881	19343
807	80978	19242
808	81077	19141
809	81168	19039
810	81263	18938
811	81361	18837
812	81453	18735
813	81548	18633
814	81642	18532
815	81739	18431
816	81832	18329
817	81927	18228
818	82025	18127
819	82119	18026
